,0
644471.0,-6.0
644473.0,4.0
644501.0,7.0
233401.0,7.0
644511.0,6.0
644560.0,-4.0
644583.0,3.0
644613.0,-9.0
644646.0,-3.0
644728.0,-3.0
644823.0,1.0
6603452.0,-10.0
573774.0,-1.0
6603111.0,5.0
645152.0,-1.0
645167.0,-4.0
645403.0,-1.0
645457.0,16.0
645479.0,-6.0
645494.0,3.0
645521.0,-3.0
645558.0,-10.0
645637.0,4.0
645668.0,3.0
645702.0,1.0
6602643.0,-1.0
645816.0,-8.0
601392.0,-3.0
646177.0,-16.0
646374.0,-5.0
342996.0,-4.0
646510.0,-3.0
646514.0,-4.0
646765.0,-1.0
646769.0,6.0
646799.0,4.0
646910.0,1.0
646945.0,0.0
285865.0,4.0
647123.0,-4.0
647170.0,-1.0
647273.0,10.0
647274.0,1.0
647483.0,21.0
647611.0,-2.0
647647.0,-2.0
647652.0,-9.0
647663.0,-3.0
647744.0,-1.0
647745.0,12.0
647748.0,-6.0
648006.0,-1.0
648009.0,-4.0
54689174.0,12.0
648616.0,14.0
648651.0,0.0
648663.0,0.0
648704.0,-3.0
648738.0,13.0
648831.0,-24.0
648955.0,0.0
649161.0,10.0
649246.0,1.0
649269.0,2.0
649281.0,0.0
649304.0,-5.0
649329.0,5.0
649433.0,3.0
649563.0,9.0
649569.0,-5.0
6602619.0,1.0
649967.0,-5.0
649994.0,2.0
649997.0,3.0
650022.0,8.0
650094.0,-1.0
650104.0,-1.0
650255.0,9.0
650348.0,-3.0
650403.0,3.0
6603190.0,2.0
650433.0,-2.0
650456.0,1.0
650469.0,-2.0
650472.0,6.0
650490.0,3.0
650491.0,-7.0
650519.0,-3.0
650550.0,-2.0
650556.0,6.0
2893244.0,-3.0
776673.0,-10.0
650878.0,-3.0
651109.0,-10.0
651139.0,2.0
618107.0,6.0
651227.0,-2.0
651313.0,3.0
135422792.0,5.0
651442.0,-6.0
651571.0,13.0
651720.0,14.0
651806.0,4.0
651810.0,3.0
651880.0,1.0
652135.0,10.0
652327.0,1.0
652374.0,-3.0
652477.0,1.0
611222.0,-4.0
652490.0,-4.0
652527.0,0.0
652546.0,10.0
652712.0,1.0
6603192.0,-2.0
652912.0,-9.0
652946.0,-5.0
652967.0,3.0
135449487.0,-5.0
653138.0,-2.0
653160.0,-3.0
653323.0,-9.0
653491.0,19.0
653546.0,13.0
653640.0,5.0
653731.0,-2.0
653807.0,5.0
653818.0,-3.0
653827.0,10.0
653913.0,2.0
653963.0,15.0
654039.0,0.0
654064.0,1.0
654068.0,-2.0
654107.0,3.0
654195.0,6.0
654245.0,4.0
654315.0,-6.0
135448997.0,-6.0
654535.0,4.0
654716.0,-1.0
6603667.0,2.0
654986.0,28.0
655035.0,-5.0
655138.0,0.0
6602552.0,93.0
655312.0,0.0
655367.0,-1.0
655496.0,8.0
655501.0,-5.0
54684103.0,-4.0
655546.0,6.0
655563.0,2.0
655614.0,7.0
655641.0,4.0
655691.0,5.0
655762.0,1.0
655795.0,-1.0
655869.0,-10.0
655901.0,4.0
6603053.0,3.0
656002.0,3.0
5291572.0,-3.0
856143.0,8.0
656125.0,6.0
656360.0,0.0
3126.0,36.0
62978.0,27.0
5281004.0,0.0
2913535.0,21.0
66062.0,64.0
1547484.0,24.0
3012.0,4.0
92303.0,23.0
4539.0,-5.0
91430.0,2.0
5405.0,33.0
66069.0,26.0
2471.0,-6.0
3213.0,58.0
657255.0,51.0
6365505.0,39.0
16362.0,66.0
5074.0,20.0
2247.0,33.0
68539.0,12.0
28693.0,10.0
62857.0,5.0
4917.0,24.0
969516.0,-6.0
5702162.0,13.0
5284439.0,28.0
102484.0,-10.0
92913.0,-6.0
5311067.0,3.0
6240.0,27.0
5909.0,-5.0
6603044.0,14.0
6602611.0,17.0
5281073.0,7.0
4748.0,27.0
657552.0,-1.0
657553.0,0.0
657604.0,2.0
135435891.0,-3.0
657612.0,2.0
657645.0,3.0
2834199.0,30.0
2837746.0,-6.0
657717.0,25.0
657756.0,6.0
657877.0,5.0
6602732.0,4.0
657951.0,-1.0
658028.0,10.0
658077.0,-6.0
658256.0,-4.0
658314.0,-17.0
658322.0,4.0
576494.0,-1.0
658528.0,3.0
658540.0,13.0
658568.0,3.0
658573.0,4.0
658591.0,-3.0
6603620.0,0.0
135449555.0,-1.0
658719.0,-2.0
658787.0,0.0
658843.0,14.0
658922.0,27.0
658953.0,-2.0
658993.0,-4.0
659069.0,16.0
659191.0,1.0
659363.0,50.0
659413.0,-22.0
659605.0,-12.0
659656.0,10.0
3794663.0,4.0
659852.0,42.0
660011.0,-14.0
660069.0,-6.0
660122.0,1.0
660188.0,7.0
660372.0,-6.0
660413.0,1.0
660504.0,-4.0
660714.0,3.0
2948490.0,10.0
660805.0,107.0
660882.0,3.0
661018.0,53.0
661038.0,-3.0
661096.0,-4.0
2885947.0,3.0
661155.0,-5.0
661250.0,29.0
661266.0,-2.0
6603627.0,11.0
661315.0,2.0
661339.0,94.0
661353.0,-3.0
661356.0,2.0
661431.0,1.0
135412495.0,-7.0
6880181.0,28.0
5389378.0,7.0
5389427.0,8.0
662182.0,-3.0
6602707.0,10.0
662260.0,21.0
662264.0,0.0
662288.0,-2.0
662290.0,-4.0
662578.0,-10.0
662654.0,5.0
662697.0,7.0
662811.0,0.0
6859187.0,5.0
663146.0,33.0
663476.0,14.0
663569.0,30.0
663649.0,7.0
663695.0,5.0
663836.0,7.0
663844.0,-15.0
663910.0,-1.0
663955.0,49.0
664069.0,7.0
664077.0,13.0
664095.0,-3.0
664135.0,-8.0
664156.0,4.0
664249.0,-6.0
664308.0,2.0
664320.0,2.0
664365.0,8.0
664518.0,4.0
6603501.0,8.0
664711.0,-14.0
664721.0,31.0
664853.0,4.0
6603571.0,11.0
664916.0,0.0
665181.0,-11.0
665412.0,4.0
665482.0,0.0
665493.0,-26.0
665801.0,-2.0
665833.0,-3.0
665840.0,3.0
665926.0,3.0
665942.0,-2.0
665965.0,-4.0
666140.0,3.0
666198.0,-10.0
666238.0,0.0
6603449.0,14.0
17577285.0,-5.0
666351.0,3.0
666365.0,2.0
666385.0,4.0
666488.0,-1.0
666594.0,6.0
666627.0,-3.0
666716.0,-3.0
666719.0,1.0
666833.0,-5.0
666854.0,0.0
65335.0,3.0
667170.0,19.0
667380.0,16.0
2125629.0,2.0
2124528.0,1.0
2525240.0,-4.0
6603670.0,7.0
2997667.0,-10.0
6603557.0,15.0
2997688.0,1.0
1902562.0,8.0
2269434.0,16.0
2997775.0,-3.0
2086004.0,-2.0
2090020.0,-3.0
2496855.0,46.0
2549953.0,7.0
2127533.0,-1.0
1628135.0,-8.0
2565823.0,8.0
2125096.0,8.0
2586514.0,9.0
2323406.0,16.0
2161358.0,-3.0
703850.0,-14.0
2374230.0,-2.0
2539963.0,2.0
5413051.0,-3.0
2544312.0,5.0
2998201.0,1.0
2094420.0,-3.0
2560290.0,6.0
2305535.0,2.0
2998283.0,-3.0
2998294.0,17.0
2998298.0,7.0
2545997.0,-4.0
2998322.0,-3.0
2998327.0,-2.0
2562360.0,-4.0
2085737.0,-1.0
2109424.0,3.0
2998426.0,3.0
2998448.0,-18.0
2998467.0,3.0
2998468.0,0.0
623828.0,0.0
2621052.0,-5.0
2359762.0,-5.0
2998636.0,-2.0
2320479.0,-4.0
2998724.0,13.0
2998738.0,1.0
2998817.0,1.0
2330317.0,2.0
2096629.0,-13.0
2331204.0,4.0
712660.0,-1.0
2540827.0,1.0
2999007.0,-5.0
6602929.0,0.0
2999036.0,2.0
9568130.0,4.0
6904728.0,-11.0
2999101.0,-2.0
2492971.0,2.0
2999200.0,6.0
5668804.0,-6.0
2999254.0,-6.0
2999282.0,-1.0
2928798.0,4.0
2999298.0,0.0
1235115.0,3.0
135415505.0,-2.0
2123128.0,2.0
2999389.0,-1.0
6602890.0,-5.0
2561594.0,1.0
2999471.0,-10.0
2999532.0,-4.0
2999559.0,-5.0
2365200.0,5.0
2550922.0,5.0
804966.0,-3.0
5742552.0,2.0
2999737.0,-4.0
2078659.0,-4.0
2542664.0,-1.0
135415536.0,10.0
2999830.0,2.0
2122985.0,-29.0
2329100.0,-5.0
2121217.0,0.0
2999885.0,56.0
2325794.0,-4.0
928003.0,-7.0
2999936.0,-6.0
2518125.0,4.0
2610835.0,-4.0
2999991.0,3.0
2615796.0,2.0
3000018.0,-1.0
2316674.0,9.0
2303250.0,-2.0
6898846.0,1.0
3000086.0,8.0
727608.0,-6.0
2576419.0,5.0
2351114.0,15.0
2562494.0,2.0
3235642.0,2.0
3235649.0,-4.0
3235654.0,12.0
3235793.0,9.0
3235853.0,3.0
3235870.0,-20.0
3235931.0,-5.0
135452349.0,-7.0
1582019.0,5.0
3235986.0,-2.0
6602938.0,1.0
3236228.0,2.0
3236305.0,9.0
6602960.0,44.0
3236323.0,5.0
3236325.0,0.0
3236345.0,0.0
3236432.0,0.0
3236498.0,20.0
3236520.0,3.0
3236546.0,37.0
3236569.0,8.0
3236573.0,6.0
3236611.0,3.0
3236692.0,15.0
3236757.0,72.0
3236776.0,7.0
3236792.0,5.0
3236885.0,-4.0
743213.0,-1.0
774866.0,7.0
3237015.0,-3.0
3237119.0,-2.0
3237156.0,11.0
3237163.0,-15.0
3237236.0,12.0
3237248.0,3.0
3237257.0,1.0
3237400.0,11.0
3237462.0,33.0
3237466.0,5.0
3237513.0,-11.0
3237618.0,3.0
1262080.0,0.0
713757.0,-3.0
3237754.0,-1.0
2207819.0,3.0
3237960.0,-2.0
3238098.0,48.0
3238236.0,10.0
3238297.0,-5.0
3238332.0,-4.0
3238354.0,2.0
3238430.0,5.0
866661.0,-1.0
3238525.0,1.0
135496739.0,-2.0
3238595.0,6.0
3238637.0,-3.0
3238678.0,-9.0
1267856.0,2.0
2761023.0,8.0
3238955.0,7.0
3239004.0,8.0
1281344.0,10.0
2901431.0,-36.0
3239200.0,-4.0
3239257.0,12.0
1427493.0,31.0
3239299.0,-1.0
3239394.0,7.0
3239494.0,-3.0
3239601.0,5.0
3139811.0,-4.0
135519502.0,3.0
3239691.0,9.0
3239768.0,-4.0
3239781.0,-3.0
