PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE_MEKK2MT
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent response of Alexa488-MEK5 binding to MEKK2 Mutant
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,10
2003,17505983,1610608,Inactive,14,,,-7
2004,17506056,20992,Inactive,9,,,-2
2005,17506077,1861041,Inactive,3,,,4
2006,17506112,6880429,Inactive,7,,,0
2007,17506127,6887872,Inactive,4,,,3
2008,17506143,1938572,Inactive,1,,,6
2009,17506147,3301126,Inactive,0,,,7
2010,17506152,1929721,Inactive,3,,,10
2011,17506165,6891819,Inactive,12,,,-5
2012,17506198,2792297,Inactive,7,,,0
2013,17506258,2175866,Inactive,5,,,2
2014,17506296,5333607,Inactive,55,,,-48
2015,17506307,2911682,Inactive,25,,,-18
2016,17506326,1333327,Inactive,9,,,-2
2017,17506327,1273134,Inactive,6,,,1
2018,17506366,2173045,Inactive,8,,,-1
2019,17506426,883395,Inactive,1,,,6
2020,17506450,2902558,Inactive,9,,,-2
2021,17506460,247203,Inactive,9,,,-2
2022,17506467,2969597,Inactive,11,,,-4
2023,17506518,1618622,Inactive,1,,,8
2024,17506551,1191721,Inactive,11,,,-4
2025,17506630,1296193,Inactive,11,,,-4
2026,17506667,1315846,Inactive,13,,,-6
2027,17506720,2969626,Inactive,4,,,3
2028,17506723,2969609,Inactive,6,,,1
2029,17506724,2969605,Inactive,5,,,2
2030,17506725,1191313,Inactive,4,,,3
2031,17506728,2304531,Inactive,1,,,6
2032,17506810,1619896,Inactive,6,,,1
2033,17506812,2269335,Inactive,2,,,5
2034,17506813,2269302,Inactive,10,,,-3
2035,17506821,1333892,Inactive,11,,,-4
2036,17506824,1333718,Inactive,6,,,1
2037,17506825,5928459,Inactive,6,,,1
2038,17506826,1333578,Inactive,9,,,-2
2039,17506828,1333576,Inactive,12,,,-5
2040,17506863,2173119,Inactive,5,,,2
2041,17506875,1313927,Inactive,5,,,12
2042,17506905,2173128,Inactive,15,,,-8
2043,17506926,5350582,Inactive,4,,,11
2044,17506937,6894320,Inactive,17,,,-10
2045,17507003,630151,Inactive,14,,,-7
2046,17507077,3178110,Inactive,0,,,7
2047,17507102,782243,Inactive,25,,,-18
2048,17507256,5755180,Inactive,9,,,-2
2049,17507276,3153499,Inactive,29,,,-22
2050,17507577,2877555,Inactive,2,,,5
2051,17507635,135411992,Inactive,7,,,0
2052,17507648,135411840,Inactive,3,,,4
2053,17507681,1141546,Inactive,2,,,9
