PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE_MEKK2MT
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent response of Alexa488-MEK5 binding to MEKK2 Mutant
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,10
1,842216,644471,Inactive,13,,,-6
2,842218,644473,Inactive,3,,,4
3,842240,644501,Inactive,0,,,7
4,842242,233401,Inactive,0,,,7
5,842251,644511,Inactive,1,,,6
6,842301,644560,Inactive,11,,,-4
7,842324,644583,Inactive,4,,,3
8,842355,644613,Inactive,16,,,-9
9,842378,644646,Inactive,10,,,-3
10,842463,644728,Inactive,10,,,-3
11,842553,644823,Inactive,6,,,1
12,842595,6603452,Inactive,17,,,-10
13,842705,573774,Inactive,8,,,-1
14,842835,6603111,Inactive,2,,,5
15,842876,645152,Inactive,8,,,-1
16,842895,645167,Inactive,11,,,-4
17,843124,645403,Inactive,8,,,-1
18,843179,645457,Inactive,9,,,16
19,843195,645479,Inactive,13,,,-6
20,843210,645494,Inactive,4,,,3
21,843238,645521,Inactive,10,,,-3
22,843277,645558,Inactive,17,,,-10
23,843346,645637,Inactive,3,,,4
24,843379,645668,Inactive,4,,,3
25,843414,645702,Inactive,6,,,1
26,843420,6602643,Inactive,8,,,-1
27,843524,645816,Inactive,15,,,-8
28,843627,601392,Inactive,10,,,-3
29,843873,646177,Inactive,23,,,-16
30,844064,646374,Inactive,12,,,-5
31,844195,342996,Inactive,11,,,-4
32,844198,646510,Inactive,10,,,-3
33,844202,646514,Inactive,11,,,-4
34,844439,646765,Inactive,8,,,-1
35,844443,646769,Inactive,1,,,6
36,844475,646799,Inactive,3,,,4
37,844583,646910,Inactive,6,,,1
38,844612,646945,Inactive,7,,,0
39,844694,285865,Inactive,3,,,4
40,844791,647123,Inactive,11,,,-4
41,844839,647170,Inactive,8,,,-1
42,844943,647273,Inactive,3,,,10
43,844944,647274,Inactive,6,,,1
44,845149,647483,Inactive,14,,,21
45,845271,647611,Inactive,9,,,-2
46,845304,647647,Inactive,9,,,-2
47,845308,647652,Inactive,16,,,-9
48,845319,647663,Inactive,10,,,-3
49,845402,647744,Inactive,8,,,-1
50,845403,647745,Inactive,5,,,12
51,845406,647748,Inactive,13,,,-6
52,845651,648006,Inactive,8,,,-1
53,845654,648009,Inactive,11,,,-4
54,845995,54689174,Inactive,5,,,12
55,846237,648616,Inactive,7,,,14
56,846265,648651,Inactive,7,,,0
57,846277,648663,Inactive,7,,,0
58,846318,648704,Inactive,10,,,-3
59,846352,648738,Inactive,6,,,13
60,846443,648831,Inactive,31,,,-24
61,846563,648955,Inactive,7,,,0
62,846768,649161,Inactive,3,,,10
63,846850,649246,Inactive,6,,,1
64,846874,649269,Inactive,5,,,2
65,846888,649281,Inactive,7,,,0
66,846911,649304,Inactive,12,,,-5
67,846936,649329,Inactive,2,,,5
68,847038,649433,Inactive,4,,,3
69,847165,649563,Inactive,2,,,9
70,847171,649569,Inactive,12,,,-5
71,847413,6602619,Inactive,6,,,1
72,847562,649967,Inactive,12,,,-5
73,847590,649994,Inactive,5,,,2
74,847593,649997,Inactive,4,,,3
75,847618,650022,Inactive,1,,,8
76,847685,650094,Inactive,8,,,-1
77,847695,650104,Inactive,8,,,-1
78,847842,650255,Inactive,2,,,9
79,847930,650348,Inactive,10,,,-3
80,847985,650403,Inactive,4,,,3
81,847998,6603190,Inactive,5,,,2
82,848008,650433,Inactive,9,,,-2
83,848032,650456,Inactive,6,,,1
84,848045,650469,Inactive,9,,,-2
85,848048,650472,Inactive,1,,,6
86,848066,650490,Inactive,4,,,3
87,848067,650491,Inactive,14,,,-7
88,848095,650519,Inactive,10,,,-3
89,848121,650550,Inactive,9,,,-2
90,848127,650556,Inactive,1,,,6
91,848350,2893244,Inactive,10,,,-3
92,848370,776673,Inactive,17,,,-10
93,848436,650878,Inactive,10,,,-3
94,848657,651109,Inactive,17,,,-10
95,848688,651139,Inactive,5,,,2
96,848757,618107,Inactive,1,,,6
97,848772,651227,Inactive,9,,,-2
98,848849,651313,Inactive,4,,,3
99,848898,135422792,Inactive,2,,,5
100,848975,651442,Inactive,13,,,-6
101,849100,651571,Inactive,6,,,13
102,849242,651720,Inactive,7,,,14
103,849317,651806,Inactive,3,,,4
104,849321,651810,Inactive,4,,,3
105,849393,651880,Inactive,6,,,1
106,849637,652135,Inactive,3,,,10
107,849817,652327,Inactive,6,,,1
108,849865,652374,Inactive,10,,,-3
109,849968,652477,Inactive,6,,,1
110,849981,611222,Inactive,11,,,-4
111,849983,652490,Inactive,11,,,-4
112,850016,652527,Inactive,7,,,0
113,850035,652546,Inactive,3,,,10
114,850201,652712,Inactive,6,,,1
115,850377,6603192,Inactive,9,,,-2
116,850390,652912,Inactive,16,,,-9
117,850425,652946,Inactive,12,,,-5
118,850446,652967,Inactive,4,,,3
119,850592,135449487,Inactive,12,,,-5
120,850606,653138,Inactive,9,,,-2
121,850628,653160,Inactive,10,,,-3
122,850784,653323,Inactive,16,,,-9
123,850947,653491,Inactive,12,,,19
124,850993,653546,Inactive,6,,,13
125,851078,653640,Inactive,2,,,5
126,851170,653731,Inactive,9,,,-2
127,851243,653807,Inactive,2,,,5
128,851254,653818,Inactive,10,,,-3
129,851263,653827,Inactive,3,,,10
130,851342,653913,Inactive,5,,,2
131,851394,653963,Inactive,8,,,15
132,851463,654039,Inactive,7,,,0
133,851488,654064,Inactive,6,,,1
134,851492,654068,Inactive,9,,,-2
135,851532,654107,Inactive,4,,,3
136,851609,654195,Inactive,1,,,6
137,851661,654245,Inactive,3,,,4
138,851722,654315,Inactive,13,,,-6
139,851863,135448997,Inactive,13,,,-6
140,851929,654535,Inactive,3,,,4
141,852112,654716,Inactive,8,,,-1
142,852122,6603667,Inactive,5,,,2
143,852362,654986,Inactive,21,,,28
144,852412,655035,Inactive,12,,,-5
145,852514,655138,Inactive,7,,,0
146,852615,6602552,Active,86,,Activator,93
147,852677,655312,Inactive,7,,,0
148,852726,655367,Inactive,8,,,-1
149,852849,655496,Inactive,1,,,8
150,852854,655501,Inactive,12,,,-5
151,852873,54684103,Inactive,11,,,-4
152,852901,655546,Inactive,1,,,6
153,852919,655563,Inactive,5,,,2
154,852969,655614,Inactive,0,,,7
155,852998,655641,Inactive,3,,,4
156,853050,655691,Inactive,2,,,5
157,853110,655762,Inactive,6,,,1
158,853143,655795,Inactive,8,,,-1
159,853215,655869,Inactive,17,,,-10
160,853248,655901,Inactive,3,,,4
161,853306,6603053,Inactive,4,,,3
162,853345,656002,Inactive,4,,,3
163,853348,5291572,Inactive,10,,,-3
164,853363,856143,Inactive,1,,,8
165,853467,656125,Inactive,1,,,6
166,853701,656360,Inactive,7,,,0
167,855516,3126,Inactive,29,,,36
168,855527,62978,Inactive,20,,,27
169,855541,5281004,Inactive,7,,,0
170,855552,2913535,Inactive,14,,,21
171,855568,66062,Inactive,57,,,64
172,855570,1547484,Inactive,17,,,24
173,855571,3012,Inactive,3,,,4
174,855589,92303,Inactive,16,,,23
175,855614,4539,Inactive,12,,,-5
176,855630,91430,Inactive,5,,,2
177,855647,5405,Inactive,26,,,33
178,855673,66069,Inactive,19,,,26
179,855675,2471,Inactive,13,,,-6
180,855686,3213,Inactive,51,,,58
181,855693,657255,Inactive,44,,,51
182,855700,6365505,Inactive,32,,,39
183,855710,16362,Inactive,59,,,66
184,855736,5074,Inactive,13,,,20
185,855746,2247,Inactive,26,,,33
186,855785,68539,Inactive,5,,,12
187,855801,28693,Inactive,3,,,10
188,855820,62857,Inactive,2,,,5
189,855827,4917,Inactive,17,,,24
190,855880,969516,Inactive,13,,,-6
191,855889,5702162,Inactive,6,,,13
192,855892,5284439,Inactive,21,,,28
193,855907,102484,Inactive,17,,,-10
194,855909,92913,Inactive,13,,,-6
195,855924,5311067,Inactive,4,,,3
196,855926,6240,Inactive,20,,,27
197,855931,5909,Inactive,12,,,-5
198,855937,6603044,Inactive,7,,,14
199,855962,6602611,Inactive,10,,,17
200,855989,5281073,Inactive,0,,,7
201,856006,4748,Inactive,20,,,27
202,856174,657552,Inactive,8,,,-1
203,856175,657553,Inactive,7,,,0
204,856233,657604,Inactive,5,,,2
205,856235,135435891,Inactive,10,,,-3
206,856242,657612,Inactive,5,,,2
207,856267,657645,Inactive,4,,,3
208,856296,2834199,Inactive,23,,,30
209,856323,2837746,Inactive,13,,,-6
210,856350,657717,Inactive,18,,,25
211,856390,657756,Inactive,1,,,6
212,856520,657877,Inactive,2,,,5
213,856584,6602732,Inactive,3,,,4
214,856594,657951,Inactive,8,,,-1
215,856677,658028,Inactive,3,,,10
216,856717,658077,Inactive,13,,,-6
217,856902,658256,Inactive,11,,,-4
218,856954,658314,Inactive,24,,,-17
219,856962,658322,Inactive,3,,,4
220,857130,576494,Inactive,8,,,-1
221,857172,658528,Inactive,4,,,3
222,857186,658540,Inactive,6,,,13
223,857219,658568,Inactive,4,,,3
224,857223,658573,Inactive,3,,,4
225,857245,658591,Inactive,10,,,-3
226,857291,6603620,Inactive,7,,,0
227,857352,135449555,Inactive,8,,,-1
228,857373,658719,Inactive,9,,,-2
229,857436,658787,Inactive,7,,,0
230,857494,658843,Inactive,7,,,14
231,857570,658922,Inactive,20,,,27
232,857605,658953,Inactive,9,,,-2
233,857646,658993,Inactive,11,,,-4
234,857710,659069,Inactive,9,,,16
235,857840,659191,Inactive,6,,,1
236,858015,659363,Inactive,43,,,50
237,858057,659413,Inactive,29,,,-22
238,858263,659605,Inactive,19,,,-12
239,858321,659656,Inactive,3,,,10
240,858462,3794663,Inactive,3,,,4
241,858538,659852,Inactive,35,,,42
242,858703,660011,Inactive,21,,,-14
243,858764,660069,Inactive,13,,,-6
244,858814,660122,Inactive,6,,,1
245,858883,660188,Inactive,0,,,7
246,859068,660372,Inactive,13,,,-6
247,859112,660413,Inactive,6,,,1
248,859199,660504,Inactive,11,,,-4
249,859422,660714,Inactive,4,,,3
250,859431,2948490,Inactive,3,,,10
251,859507,660805,Active,100,,Activator,107
252,859577,660882,Inactive,4,,,3
253,859713,661018,Inactive,46,,,53
254,859734,661038,Inactive,10,,,-3
255,859794,661096,Inactive,11,,,-4
256,859828,2885947,Inactive,4,,,3
257,859847,661155,Inactive,12,,,-5
258,859948,661250,Inactive,22,,,29
259,859964,661266,Inactive,9,,,-2
260,859978,6603627,Inactive,4,,,11
261,860005,661315,Inactive,5,,,2
262,860032,661339,Active,87,,Activator,94
263,860047,661353,Inactive,10,,,-3
264,860050,661356,Inactive,5,,,2
265,860121,661431,Inactive,6,,,1
266,860428,135412495,Inactive,14,,,-7
267,860458,6880181,Inactive,21,,,28
268,860559,5389378,Inactive,0,,,7
269,860707,5389427,Inactive,1,,,8
270,860909,662182,Inactive,10,,,-3
271,860943,6602707,Inactive,3,,,10
272,860986,662260,Inactive,14,,,21
273,860990,662264,Inactive,7,,,0
274,861018,662288,Inactive,9,,,-2
275,861020,662290,Inactive,11,,,-4
276,861328,662578,Inactive,17,,,-10
277,861407,662654,Inactive,2,,,5
278,861453,662697,Inactive,0,,,7
279,861566,662811,Inactive,7,,,0
280,861597,6859187,Inactive,2,,,5
281,861921,663146,Inactive,26,,,33
282,862253,663476,Inactive,7,,,14
283,862341,663569,Inactive,23,,,30
284,862424,663649,Inactive,0,,,7
285,862464,663695,Inactive,2,,,5
286,862602,663836,Inactive,0,,,7
287,862610,663844,Inactive,22,,,-15
288,862678,663910,Inactive,8,,,-1
289,862723,663955,Inactive,42,,,49
290,862836,664069,Inactive,0,,,7
291,862844,664077,Inactive,6,,,13
292,862862,664095,Inactive,10,,,-3
293,862896,664135,Inactive,15,,,-8
294,862917,664156,Inactive,3,,,4
295,863012,664249,Inactive,13,,,-6
296,863069,664308,Inactive,5,,,2
297,863081,664320,Inactive,5,,,2
298,863127,664365,Inactive,1,,,8
299,863272,664518,Inactive,3,,,4
300,863323,6603501,Inactive,1,,,8
301,863459,664711,Inactive,21,,,-14
302,863466,664721,Inactive,24,,,31
303,863604,664853,Inactive,3,,,4
304,863621,6603571,Inactive,4,,,11
305,863661,664916,Inactive,7,,,0
306,863924,665181,Inactive,18,,,-11
307,864164,665412,Inactive,3,,,4
308,864235,665482,Inactive,7,,,0
309,864246,665493,Inactive,33,,,-26
310,864558,665801,Inactive,9,,,-2
311,864591,665833,Inactive,10,,,-3
312,864598,665840,Inactive,4,,,3
313,864685,665926,Inactive,4,,,3
314,864701,665942,Inactive,9,,,-2
315,864724,665965,Inactive,11,,,-4
316,864892,666140,Inactive,4,,,3
317,864948,666198,Inactive,17,,,-10
318,864991,666238,Inactive,7,,,0
319,865076,6603449,Inactive,7,,,14
320,865091,17577285,Inactive,12,,,-5
321,865100,666351,Inactive,4,,,3
322,865114,666365,Inactive,5,,,2
323,865135,666385,Inactive,3,,,4
324,865234,666488,Inactive,8,,,-1
325,865340,666594,Inactive,1,,,6
326,865373,666627,Inactive,10,,,-3
327,865462,666716,Inactive,10,,,-3
328,865465,666719,Inactive,6,,,1
329,865574,666833,Inactive,12,,,-5
330,865595,666854,Inactive,7,,,0
331,865815,65335,Inactive,4,,,3
332,865912,667170,Inactive,12,,,19
333,866121,667380,Inactive,9,,,16
334,3711184,2125629,Inactive,5,,,2
335,3711312,2124528,Inactive,6,,,1
336,3711405,2525240,Inactive,11,,,-4
337,3711406,6603670,Inactive,0,,,7
338,3711508,2997667,Inactive,17,,,-10
339,3711520,6603557,Inactive,8,,,15
340,3711563,2997688,Inactive,6,,,1
341,3711649,1902562,Inactive,1,,,8
342,3711790,2269434,Inactive,9,,,16
343,3711798,2997775,Inactive,10,,,-3
344,3711834,2086004,Inactive,9,,,-2
345,3711976,2090020,Inactive,10,,,-3
346,3712034,2496855,Inactive,39,,,46
347,3712102,2549953,Inactive,0,,,7
348,3712121,2127533,Inactive,8,,,-1
349,3712233,1628135,Inactive,15,,,-8
350,3712234,2565823,Inactive,1,,,8
351,3712315,2125096,Inactive,1,,,8
352,3712348,2586514,Inactive,2,,,9
353,3712517,2323406,Inactive,9,,,16
354,3712554,2161358,Inactive,10,,,-3
355,3712685,703850,Inactive,21,,,-14
356,3712728,2374230,Inactive,9,,,-2
357,3712743,2539963,Inactive,5,,,2
358,3712770,5413051,Inactive,10,,,-3
359,3712874,2544312,Inactive,2,,,5
360,3712892,2998201,Inactive,6,,,1
361,3712931,2094420,Inactive,10,,,-3
362,3713029,2560290,Inactive,1,,,6
363,3713032,2305535,Inactive,5,,,2
364,3713101,2998283,Inactive,10,,,-3
365,3713120,2998294,Inactive,10,,,17
366,3713134,2998298,Inactive,0,,,7
367,3713169,2545997,Inactive,11,,,-4
368,3713184,2998322,Inactive,10,,,-3
369,3713196,2998327,Inactive,9,,,-2
370,3713254,2562360,Inactive,11,,,-4
371,3713294,2085737,Inactive,8,,,-1
372,3713358,2109424,Inactive,4,,,3
373,3713484,2998426,Inactive,4,,,3
374,3713547,2998448,Inactive,25,,,-18
375,3713595,2998467,Inactive,4,,,3
376,3713596,2998468,Inactive,7,,,0
377,3713761,623828,Inactive,7,,,0
378,3713904,2621052,Inactive,12,,,-5
379,3714002,2359762,Inactive,12,,,-5
380,3714014,2998636,Inactive,9,,,-2
381,3714118,2320479,Inactive,11,,,-4
382,3714250,2998724,Inactive,6,,,13
383,3714284,2998738,Inactive,6,,,1
384,3714476,2998817,Inactive,6,,,1
385,3714541,2330317,Inactive,5,,,2
386,3714561,2096629,Inactive,20,,,-13
387,3714565,2331204,Inactive,3,,,4
388,3714579,712660,Inactive,8,,,-1
389,3714873,2540827,Inactive,6,,,1
390,3714913,2999007,Inactive,12,,,-5
391,3714959,6602929,Inactive,7,,,0
392,3714994,2999036,Inactive,5,,,2
393,3715026,9568130,Inactive,3,,,4
394,3715145,6904728,Inactive,18,,,-11
395,3715149,2999101,Inactive,9,,,-2
396,3715408,2492971,Inactive,5,,,2
397,3715422,2999200,Inactive,1,,,6
398,3715509,5668804,Inactive,13,,,-6
399,3715533,2999254,Inactive,13,,,-6
400,3715607,2999282,Inactive,8,,,-1
401,3715630,2928798,Inactive,3,,,4
402,3715643,2999298,Inactive,7,,,0
403,3715706,1235115,Inactive,4,,,3
404,3715801,135415505,Inactive,9,,,-2
405,3715876,2123128,Inactive,5,,,2
406,3715889,2999389,Inactive,8,,,-1
407,3715910,6602890,Inactive,12,,,-5
408,3715927,2561594,Inactive,6,,,1
409,3716099,2999471,Inactive,17,,,-10
410,3716244,2999532,Inactive,11,,,-4
411,3716319,2999559,Inactive,12,,,-5
412,3716362,2365200,Inactive,2,,,5
413,3716578,2550922,Inactive,2,,,5
414,3716636,804966,Inactive,10,,,-3
415,3716725,5742552,Inactive,5,,,2
416,3716748,2999737,Inactive,11,,,-4
417,3716868,2078659,Inactive,11,,,-4
418,3716901,2542664,Inactive,8,,,-1
419,3716929,135415536,Inactive,3,,,10
420,3716989,2999830,Inactive,5,,,2
421,3716999,2122985,Inactive,36,,,-29
422,3717023,2329100,Inactive,12,,,-5
423,3717053,2121217,Inactive,7,,,0
424,3717133,2999885,Inactive,49,,,56
425,3717144,2325794,Inactive,11,,,-4
426,3717243,928003,Inactive,14,,,-7
427,3717278,2999936,Inactive,13,,,-6
428,3717318,2518125,Inactive,3,,,4
429,3717388,2610835,Inactive,11,,,-4
430,3717424,2999991,Inactive,4,,,3
431,3717441,2615796,Inactive,5,,,2
432,3717479,3000018,Inactive,8,,,-1
433,3717482,2316674,Inactive,2,,,9
434,3717550,2303250,Inactive,9,,,-2
435,3717574,6898846,Inactive,6,,,1
436,3717645,3000086,Inactive,1,,,8
437,3717673,727608,Inactive,13,,,-6
438,3717698,2576419,Inactive,2,,,5
439,3717780,2351114,Inactive,8,,,15
440,3717818,2562494,Inactive,5,,,2
441,4240546,3235642,Inactive,5,,,2
442,4240554,3235649,Inactive,11,,,-4
443,4240561,3235654,Inactive,5,,,12
444,4240720,3235793,Inactive,2,,,9
445,4240790,3235853,Inactive,4,,,3
446,4240810,3235870,Inactive,27,,,-20
447,4240887,3235931,Inactive,12,,,-5
448,4240917,135452349,Inactive,14,,,-7
449,4240923,1582019,Inactive,2,,,5
450,4240949,3235986,Inactive,9,,,-2
451,4241168,6602938,Inactive,6,,,1
452,4241227,3236228,Inactive,5,,,2
453,4241309,3236305,Inactive,2,,,9
454,4241310,6602960,Inactive,37,,,44
455,4241333,3236323,Inactive,2,,,5
456,4241335,3236325,Inactive,7,,,0
457,4241359,3236345,Inactive,7,,,0
458,4241463,3236432,Inactive,7,,,0
459,4241541,3236498,Inactive,13,,,20
460,4241563,3236520,Inactive,4,,,3
461,4241591,3236546,Inactive,30,,,37
462,4241615,3236569,Inactive,1,,,8
463,4241621,3236573,Inactive,1,,,6
464,4241666,3236611,Inactive,4,,,3
465,4241757,3236692,Inactive,8,,,15
466,4241835,3236757,Active,65,,Activator,72
467,4241858,3236776,Inactive,0,,,7
468,4241876,3236792,Inactive,2,,,5
469,4241972,3236885,Inactive,11,,,-4
470,4241998,743213,Inactive,8,,,-1
471,4242013,774866,Inactive,0,,,7
472,4242120,3237015,Inactive,10,,,-3
473,4242236,3237119,Inactive,9,,,-2
474,4242279,3237156,Inactive,4,,,11
475,4242287,3237163,Inactive,22,,,-15
476,4242374,3237236,Inactive,5,,,12
477,4242387,3237248,Inactive,4,,,3
478,4242397,3237257,Inactive,6,,,1
479,4242565,3237400,Inactive,4,,,11
480,4242633,3237462,Inactive,26,,,33
481,4242637,3237466,Inactive,2,,,5
482,4242691,3237513,Inactive,18,,,-11
483,4242809,3237618,Inactive,4,,,3
484,4242873,1262080,Inactive,7,,,0
485,4242925,713757,Inactive,10,,,-3
486,4242964,3237754,Inactive,8,,,-1
487,4243069,2207819,Inactive,4,,,3
488,4243207,3237960,Inactive,9,,,-2
489,4243364,3238098,Inactive,41,,,48
490,4243526,3238236,Inactive,3,,,10
491,4243596,3238297,Inactive,12,,,-5
492,4243638,3238332,Inactive,11,,,-4
493,4243662,3238354,Inactive,5,,,2
494,4243744,3238430,Inactive,2,,,5
495,4243827,866661,Inactive,8,,,-1
496,4243850,3238525,Inactive,6,,,1
497,4243861,135496739,Inactive,9,,,-2
498,4243924,3238595,Inactive,1,,,6
499,4243975,3238637,Inactive,10,,,-3
500,4244019,3238678,Inactive,16,,,-9
501,4244167,1267856,Inactive,5,,,2
502,4244225,2761023,Inactive,1,,,8
503,4244344,3238955,Inactive,0,,,7
504,4244401,3239004,Inactive,1,,,8
505,4244560,1281344,Inactive,3,,,10
506,4244604,2901431,Inactive,43,,,-36
507,4244625,3239200,Inactive,11,,,-4
508,4244687,3239257,Inactive,5,,,12
509,4244723,1427493,Inactive,24,,,31
510,4244742,3239299,Inactive,8,,,-1
511,4244849,3239394,Inactive,0,,,7
512,4244962,3239494,Inactive,10,,,-3
513,4245092,3239601,Inactive,2,,,5
514,4245120,3139811,Inactive,11,,,-4
515,4245159,135519502,Inactive,4,,,3
516,4245192,3239691,Inactive,2,,,9
517,4245279,3239768,Inactive,11,,,-4
518,4245292,3239781,Inactive,10,,,-3
519,4245370,6603530,Inactive,8,,,15
520,4245651,3240098,Inactive,9,,,-2
521,4245773,2813183,Inactive,13,,,-6
522,4245850,18558709,Inactive,15,,,-8
523,4245863,3240282,Inactive,4,,,3
524,4245907,3240318,Inactive,18,,,25
525,4245970,3240372,Inactive,16,,,-9
526,4246325,3240687,Inactive,9,,,-2
527,4246491,687952,Inactive,15,,,-8
528,4246541,3240872,Inactive,40,,,47
529,4246544,3240875,Inactive,13,,,-6
530,4246596,3240919,Inactive,5,,,2
531,4246597,3240920,Inactive,3,,,10
532,4246616,3240937,Inactive,6,,,1
533,4246804,3241099,Inactive,5,,,2
534,4246822,3241115,Inactive,34,,,41
535,4246841,2052854,Inactive,8,,,-1
536,4246861,3241148,Inactive,4,,,11
537,4246873,3241160,Inactive,7,,,0
538,4246898,2302362,Inactive,4,,,3
539,4246912,3241196,Inactive,7,,,0
540,4246925,714180,Inactive,6,,,1
541,4247100,2930407,Active,71,,Activator,78
542,4247177,3241411,Inactive,8,,,-1
543,4247209,3241440,Inactive,1,,,6
544,4247292,200370,Inactive,11,,,-4
545,4247316,744264,Inactive,6,,,1
546,4247323,3241545,Inactive,3,,,4
547,4247336,3241557,Inactive,7,,,0
548,4247488,3241697,Inactive,9,,,-2
549,4247522,3241725,Inactive,1,,,6
550,4247580,3241776,Inactive,4,,,3
551,4247620,3241806,Inactive,6,,,1
552,4247723,3241891,Inactive,12,,,-5
553,4247785,3241951,Inactive,39,,,-32
554,4247795,3241960,Inactive,1,,,8
555,4247900,6602841,Inactive,5,,,12
556,4248001,3242136,Inactive,11,,,-4
557,4248057,3242183,Inactive,13,,,20
558,4248146,3242260,Inactive,10,,,17
559,4248216,3242323,Inactive,2,,,5
560,4248301,2902569,Inactive,5,,,12
561,4248601,54720053,Inactive,10,,,-3
562,4248733,3242772,Inactive,9,,,-2
563,4248793,5771435,Inactive,6,,,13
564,4248801,3242831,Inactive,4,,,3
565,4248814,3242842,Inactive,9,,,16
566,4248872,3242893,Inactive,7,,,0
567,4248889,3242909,Inactive,15,,,22
568,4248968,3242977,Inactive,3,,,4
569,4249340,3243306,Inactive,5,,,2
570,4249359,3243323,Inactive,7,,,0
571,4249394,3243352,Inactive,7,,,0
572,4249462,712135,Inactive,4,,,3
573,4249482,3243429,Inactive,3,,,10
574,4249675,3243596,Inactive,8,,,-1
575,4249798,686822,Inactive,6,,,1
576,4249849,745957,Inactive,3,,,4
577,4249981,3243856,Inactive,1,,,6
578,4250037,3243905,Inactive,12,,,-5
579,4250042,3243909,Inactive,8,,,-1
580,4250097,3243956,Inactive,8,,,-1
581,4250154,3244006,Inactive,19,,,-12
582,4250185,3244033,Inactive,0,,,7
583,4250321,3244152,Inactive,36,,,-29
584,4250444,3244254,Inactive,3,,,4
585,4250461,3244267,Inactive,0,,,7
586,4250468,3244273,Inactive,5,,,2
587,4250514,767828,Inactive,5,,,2
588,4250708,3244478,Inactive,13,,,-6
589,4250835,3244594,Inactive,6,,,1
590,4250906,3244659,Inactive,1,,,6
591,4250941,3244689,Inactive,3,,,10
592,4250953,3244701,Inactive,13,,,-6
593,4251045,3244781,Inactive,5,,,12
594,4251066,818375,Inactive,0,,,7
595,4251092,3244822,Inactive,26,,,-19
596,4251106,2792970,Inactive,3,,,4
597,4251175,3244895,Inactive,3,,,10
598,4251288,3244993,Inactive,3,,,10
599,4251294,17019740,Inactive,8,,,-1
600,4251366,3245065,Inactive,8,,,-1
601,4251474,135399045,Inactive,4,,,3
602,4251513,3245185,Inactive,8,,,15
603,4251524,3245195,Inactive,23,,,30
604,4251557,3245225,Inactive,31,,,38
605,4251584,2157349,Inactive,11,,,-4
606,4251761,3245407,Inactive,5,,,2
607,4251941,3245560,Inactive,0,,,7
608,4251970,2990940,Inactive,9,,,-2
609,4251987,3245598,Inactive,11,,,-4
610,4252156,3245746,Inactive,10,,,-3
611,4252164,135403554,Inactive,13,,,-6
612,4252212,3245794,Inactive,10,,,-3
613,4252264,3245839,Inactive,12,,,-5
614,4252282,3245857,Inactive,28,,,-21
615,4252327,3245895,Inactive,20,,,27
616,4252330,6922640,Inactive,11,,,-4
617,4252379,595568,Inactive,2,,,9
618,4254516,2958857,Inactive,4,,,3
619,4254662,729876,Inactive,10,,,-3
620,4254794,1080841,Inactive,11,,,-4
621,4254802,2286728,Inactive,7,,,0
622,4254948,2972427,Inactive,11,,,18
623,4255042,973637,Inactive,12,,,-5
624,4255339,2243296,Inactive,7,,,0
625,4255474,5541361,Inactive,11,,,-4
626,4255531,2827410,Inactive,12,,,19
627,4255552,700285,Inactive,3,,,4
628,4255619,892402,Inactive,14,,,-7
629,4255685,1294981,Inactive,7,,,0
630,4255704,1190491,Inactive,1,,,6
631,4255801,1295468,Inactive,9,,,-2
632,4255905,2917822,Inactive,5,,,2
633,4255908,2973815,Inactive,12,,,19
634,4255975,2237016,Inactive,8,,,-1
635,4256396,2215459,Inactive,0,,,7
636,4256600,782865,Inactive,0,,,7
637,4256635,1017508,Inactive,6,,,13
638,4256670,847035,Inactive,9,,,-2
639,4256683,678291,Inactive,5,,,2
640,4256730,2983069,Inactive,7,,,14
641,4256904,972591,Inactive,17,,,-10
642,4257174,2941457,Inactive,11,,,-4
643,4257208,1292964,Inactive,15,,,-8
644,4257269,973130,Inactive,7,,,0
645,4257328,2243369,Inactive,11,,,-4
646,4257574,821865,Inactive,4,,,3
647,4257633,2228801,Inactive,10,,,-3
648,4257795,1022056,Inactive,4,,,3
649,4257853,1313404,Inactive,6,,,1
650,4257881,975615,Inactive,8,,,-1
651,4257886,2961794,Inactive,1,,,8
652,4258090,696134,Inactive,5,,,2
653,4258111,795395,Inactive,6,,,1
654,4258118,1916559,Inactive,2,,,9
655,4258119,2229604,Inactive,10,,,-3
656,4258151,2962152,Inactive,1,,,8
657,4258230,5737491,Inactive,5,,,12
658,4258450,2963176,Inactive,2,,,9
659,4258455,98456,Inactive,9,,,-2
660,4258465,1596915,Inactive,2,,,5
661,4258502,2957695,Inactive,6,,,1
662,4258516,373718,Inactive,5,,,2
663,4258526,1293415,Inactive,0,,,7
664,4258610,673386,Inactive,8,,,-1
665,4258626,2948475,Inactive,6,,,1
666,4258677,1600110,Inactive,13,,,-6
667,4258678,2959108,Inactive,2,,,9
668,4258800,2967427,Inactive,10,,,-3
669,4258811,806688,Inactive,8,,,15
670,4258967,1285301,Inactive,8,,,-1
671,4259051,1247700,Inactive,8,,,15
672,4259116,974848,Inactive,2,,,5
