,0
65238.0,88.0
5329150.0,87.0
442504.0,87.0
92577.0,86.0
16195554.0,86.0
16747776.0,86.0
46854655.0,86.0
16656440.0,86.0
46871935.0,86.0
6438389.0,86.0
5312120.0,86.0
1287.0,86.0
5481756.0,86.0
10455173.0,10.0
24797083.0,86.0
20056625.0,86.0
9934458.0,85.0
54708532.0,85.0
6450819.0,85.0
1361334.0,85.0
49867926.0,85.0
166558.0,85.0
1987175.0,85.0
52939724.0,85.0
1261822.0,85.0
9889522.0,85.0
66577055.0,85.0
44627267.0,85.0
4235339.0,85.0
66552906.0,85.0
135565181.0,85.0
72188643.0,85.0
16122583.0,85.0
72165188.0,85.0
73672447.0,85.0
45102710.0,85.0
11599836.0,85.0
9864378.0,85.0
44473151.0,85.0
134828009.0,85.0
124080445.0,85.0
21677748.0,85.0
101277343.0,85.0
3032411.0,85.0
134828000.0,85.0
5482316.0,85.0
137276863.0,85.0
78121247.0,85.0
12110448.0,85.0
3392731.0,84.0
5803.0,84.0
133053827.0,84.0
68414868.0,84.0
44566108.0,84.0
445091.0,84.0
44402523.0,84.0
46240292.0,84.0
56599306.0,84.0
60923.0,84.0
45783058.0,84.0
24748204.0,84.0
53338167.0,84.0
53364510.0,84.0
23602075.0,84.0
49783953.0,84.0
16760291.0,84.0
75299874.0,84.0
53394059.0,84.0
54728414.0,84.0
134827993.0,84.0
11757702.0,84.0
57332561.0,84.0
11420157.0,84.0
73441609.0,84.0
137276861.0,84.0
134827964.0,84.0
134827962.0,84.0
91884783.0,84.0
10094345.0,83.0
10195250.0,83.0
53483920.0,83.0
5461634.0,83.0
1880.0,83.0
134827953.0,83.0
44237956.0,10.0
134827943.0,83.0
91799707.0,83.0
9803242.0,82.0
91895223.0,82.0
12780142.0,82.0
21582644.0,82.0
10763962.0,82.0
6483648.0,82.0
5316430.0,10.0
134827968.0,82.0
134828030.0,82.0
137276862.0,82.0
134827985.0,82.0
9873674.0,82.0
6918328.0,82.0
134828025.0,82.0
50900234.0,82.0
102516048.0,81.0
54704283.0,81.0
134828031.0,81.0
20056614.0,67.0
10747094.0,66.0
10229498.0,64.0
44476535.0,64.0
64971.0,64.0
11633740.0,63.0
134827950.0,63.0
134828020.0,62.0
134827987.0,62.0
3002143.0,0.0
134827989.0,60.0
44715348.0,48.0
133053852.0,45.0
45782944.0,45.0
9875131.0,44.0
49852229.0,44.0
49846579.0,44.0
52936292.0,44.0
78357819.0,44.0
75528896.0,44.0
23786438.0,44.0
56776316.0,44.0
60208891.0,44.0
5819.0,43.0
5081913.0,43.0
23757062.0,43.0
127030712.0,43.0
70701426.0,43.0
127019.0,43.0
45102612.0,43.0
998021.0,43.0
75411970.0,43.0
56776325.0,43.0
45359203.0,43.0
71694438.0,43.0
45359160.0,43.0
45359811.0,43.0
9819225.0,43.0
102571594.0,43.0
75528774.0,43.0
51136440.0,43.0
71694424.0,43.0
45359849.0,43.0
135533054.0,43.0
11750568.0,43.0
10114.0,42.0
164676.0,42.0
104842.0,42.0
23900015.0,42.0
24096429.0,42.0
3922.0,42.0
5312130.0,42.0
54685215.0,42.0
11071046.0,0.0
71533725.0,42.0
4332683.0,42.0
11577204.0,42.0
25017320.0,42.0
10274777.0,42.0
53387035.0,42.0
45359177.0,42.0
51136314.0,42.0
6451122.0,42.0
56776222.0,42.0
45359340.0,42.0
56776223.0,42.0
110062415.0,42.0
75528895.0,42.0
11228694.0,42.0
75528935.0,42.0
45360241.0,42.0
57509336.0,42.0
14239484.0,42.0
51136557.0,42.0
6438552.0,42.0
14191232.0,42.0
24175348.0,42.0
602765.0,42.0
9934519.0,42.0
75368734.0,42.0
53463559.0,42.0
13962928.0,42.0
45360003.0,42.0
102571654.0,42.0
